Date,Facility,Total Transactions,Transponder Transactions,Percentage of Transponder Transactions,Comments,Location
12/31/2016 12:00:00 AM,FMT,"3,727,549","2,764,053",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.240612, -76.587157)"
12/31/2016 12:00:00 AM,WPL,"1,024,278","722,368",71%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.9761)"
12/31/2016 12:00:00 AM,HWN,"280,406","161,251",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
12/31/2016 12:00:00 AM,ICC,"2,679,386",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
01/31/2017 12:00:00 AM,HWN,"226,621","139,613",62%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
01/31/2017 12:00:00 AM,WPL,"885,649","645,896",94%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.9761)"
01/31/2017 12:00:00 AM,FSK,"868,134","691,080",80%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
01/31/2017 12:00:00 AM,ICC,"2,501,607",,,,"19602 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
01/31/2017 12:00:00 AM,FMT,"3,464,176","2,634,701",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
01/31/2017 12:00:00 AM,JFK,"1,074,197","786,526",73%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
01/31/2017 12:00:00 AM,HMB,"399,900","375,367",94%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
01/31/2017 12:00:00 AM,BHT,"2,183,145","161,742",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
02/28/2017 12:00:00 AM,BAY,"875,017","633,654",72%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
02/28/2017 12:00:00 AM,BHT,"2,069,256","1,518,024",73%,,"1200 Frankfurst
Baltimore, MD 21226
(39.240612, -76.587157)"
02/28/2017 12:00:00 AM,FMT,"3,278,046","2,489,921",76%,,"3990 Leland Ave
Baltimore, MD 21226
(39.2661, -76.561575)"
02/28/2017 12:00:00 AM,FSK,"842,213","665,192",79%,,"303 Authority Drive
Baltimore, MD 21224
(39.230495, -76.510661)"
02/28/2017 12:00:00 AM,JFK,"1,005,860","739,407",74%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
02/28/2017 12:00:00 AM,HMB,"378,667","355,567",94%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
02/28/2017 12:00:00 AM,HWN,"221,568","135,965",61%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9461)"
03/31/2017 12:00:00 AM,ICC,"2,593,573",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2017 12:00:00 AM,HWN,"262,856","159,646",61%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
02/28/2017 12:00:00 AM,ICC,"2,297,823",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2017 12:00:00 AM,WPL,"1,000,794","772,102",72%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
03/31/2017 12:00:00 AM,BHT,"2,346,841","1,706,933",73%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
03/31/2017 12:00:00 AM,FMT,"3,720,317","2,806,092",75%,,
03/31/2017 12:00:00 AM,FSK,"957,732","751,907",79%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
03/31/2017 12:00:00 AM,JFK,"1,193,740","867,171",73%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
03/31/2017 12:00:00 AM,HMB,"423,952","396,767",94%,,"6000 Pulaski Hwy
Perryville, Md 21903
(39.589146, -76.073059)"
07/31/2017 12:00:00 AM,BHT,"2,470,528","1,727,172",70%,,"1200 Frankfrust Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2017 12:00:00 AM,HMB,"437,676","399,769",91%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
07/31/2017 12:00:00 AM,FMT,"3,981,868","2,868,490",72%,,"3990 Leland Ave
Baltimore, MD 21224
(39.261, -76.561575)"
07/31/2017 12:00:00 AM,FSK,"997,732","757,211",76%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
07/31/2017 12:00:00 AM,JFK,"1,525,580","1,047,996",69%,,"1 Turnpike Hwy
Perville, MD 21903
(29.589249, -0.76)"
07/31/2017 12:00:00 AM,WPL,"1,360,743","869,619",64%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2017 12:00:00 AM,HWN,"333,723","180,786",54%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
08/31/2017 12:00:00 AM,ICC,"2,940,376",,,,
07/31/2017 12:00:00 AM,ICC,"2,798,223",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2017 12:00:00 AM,JFK,"1,515,695","1,066,929",71%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
08/31/2017 12:00:00 AM,HMB,"462,887","427,439",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
08/31/2017 12:00:00 AM,WPL,"1,360,743","9,728",67%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
08/31/2017 12:00:00 AM,HWN,"335,514","192,449",57%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
09/30/2017 12:00:00 AM,HWN,"1,181,241","803,148",57%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
09/30/2017 12:00:00 AM,ICC,"2,662,913",,,,"19602 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2017 12:00:00 AM,BHT,"2,570,155","1,853,672",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
08/31/2017 12:00:00 AM,FMT,"4,107,152","3,050,945",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2017 12:00:00 AM,FSK,"1,073,934","831,244",77%,,"303 Authority Ave
Baltimore, MD 21222
(39.230495, -76.510661)"
09/30/2017 12:00:00 AM,FMT,"3,713,619","2,768,179",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
09/30/2017 12:00:00 AM,FSK,"993,348","768,651",77%,,"303 Authority Drive
Baltimore MD, 2122
(39.230495, -76.510661)"
09/30/2017 12:00:00 AM,JFK,"1,287,960","908,916",71%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
09/30/2017 12:00:00 AM,HMB,"426,736","397,984",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
09/30/2017 12:00:00 AM,WPL,"282,279","164,723",67%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
09/30/2017 12:00:00 AM,BHT,"2,345,017","1,686,336",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
04/30/2017 12:00:00 AM,BHT,"2,404,031","1,720,915",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
04/30/2017 12:00:00 AM,WPL,"1,114,501","774,404",69%,,"850 Revell Hwy
Annapolis, Md 21409
(39.01338, -76.406716)"
04/30/2017 12:00:00 AM,FMT,"3,906,272","2,906,706",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
04/30/2017 12:00:00 AM,FSK,"974,262","750,242",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
04/30/2017 12:00:00 AM,JFK,"1,427,848","1,029,911",72%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
04/30/2017 12:00:00 AM,HMB,"432,023","399,796",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
04/30/2017 12:00:00 AM,HWN,"292,438","168,314",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
04/30/2017 12:00:00 AM,ICC,"2,775,969",,,,"16902 Crabbs Branch Way
Rockville, Md 20855
(39.122199, -77.188097)"
05/31/2017 12:00:00 AM,JFK,"1,405,487","1,008,356",72%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
05/31/2017 12:00:00 AM,HMB,"452,747","420,428",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
05/31/2017 12:00:00 AM,WPL,"1,211,567","834,441",69%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
05/31/2017 12:00:00 AM,HWN,"303,067","176,073",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
05/31/2017 12:00:00 AM,BHT,"2,443,303","1,763,329",50%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
05/31/2017 12:00:00 AM,FMT,"4,012,555","2,998,278",75%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
05/31/2017 12:00:00 AM,FSK,"1,050,514","814,474",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
05/31/2017 12:00:00 AM,ICC,"3,082,485",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
06/30/2017 12:00:00 AM,BHT,"2,458,302","1,755,345",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
06/30/2017 12:00:00 AM,FMT,"3,961,124","2,910,837",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
06/30/2017 12:00:00 AM,FSK,"1,069,266","819,837",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
06/30/2017 12:00:00 AM,JFK,"1,427,124","819,177",70%,,"1 Turnpike
Perrville, MD 21903
(39.589249, -76.072845)"
06/30/2017 12:00:00 AM,HMB,"445,759","997,410",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
06/30/2017 12:00:00 AM,WPL,"1,349,229","411,616",66%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
06/30/2017 12:00:00 AM,HWN,"328,145","897,027",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
06/30/2017 12:00:00 AM,ICC,"2,818,406","1,985,197",,,"16902 Crabbs Branch Way
Newburg, MD 20664
(38.364741, -77.188097)"
